name,price,original_price,sale_price,currency,sku,in_stock,image_url,description,url
"Toner kompatibel KIOCERA-MITA TK-1160 ECOSYS P2040DN, ECOSYS P2040DW",3500,4500,3500,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/Toner-TK-1160-.jpg,"Toner kompatibel KIOCERA-MITA TK-1160 ECOSYS P2040DN, ECOSYS P2040DW",https://eurooffice.al/product/toner-kompatibel-kiocera-mita-tk-1160-ecosys-p2040dn-ecosys-p2040dw/
Developer Sharp Kit152 AR5415 (168T),2500,3200,2500,L,,true,https://eurooffice.al/wp-content/uploads/2022/05/sharp.jpg,Developer Sharp Kit152 AR5415 (168T) 25K kopje,https://eurooffice.al/product/developer-sharp-kit152-ar5415-168t/
"Toner kompatibel KIOCERA-MITA TK-1170 ECOSYS M2040DN, ECOSYS M2540DN, ECOSYS M2640IDW",3000,4000,3000,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/TK-1170.jpg,"Toner kompatibel KIOCERA-MITA TK-1170 ECOSYS M2040DN, ECOSYS M2540DN, ECOSYS M2640IDW",https://eurooffice.al/product/toner-kompatibel-kiocera-mita-tk-1170-ecosys-m2040dn-ecosys-m2540dn-ecosys-m2640idw/
"Drum  Brother  DR-2401 DCP L2512D, DCP L2532DW, OCP L2552DN, MFC L2712DN, MFC L2712DW, MFC L2732DW (12k.)",2500,4000,2500,L,,true,https://eurooffice.al/wp-content/uploads/2025/04/2401-drum.jpg,"Toner Brother TN 3430/3480 Compatibel 8K Drum dhe toner compatible te cilesis se lart , jo te rimbushur . Cdo produkte eshte i certifikuar dhe me stampe sigurie . Kod art : TBTN3480CH",https://eurooffice.al/product/drum-brother-dr-2401-dcp-l2512d-dcp-l2532dw-ocp-l2552dn-mfc-l2712dn-mfc-l2712dw-mfc-l2732dw-12k/
Toner kompatibel KIOCERA-MITA TK-120 :FS-1030,4000,5000,4000,L,,true,https://eurooffice.al/wp-content/uploads/2020/06/C-TK-120.jpg,Toner kompatibel KIOCERA-MITA TK-120 :FS-1030,https://eurooffice.al/product/toner-kompatibel-kiocera-mita-tk-120-fs-1030/
Drum Brother HL5000D DR3400 compatibel,4000,5000,4000,L,,true,https://eurooffice.al/wp-content/uploads/2022/03/brother-dr-3400-dr.jpg,"Drum Brother Compatible HL5000D , DR3400 Drum dhe toner compatible te cilesis se lart , jo te rimbushur . Cdo produkte eshte i certifikuar dhe me stampe sigurie . Kod artikulli : DRB3400CH",https://eurooffice.al/product/drum-brother-hl5000d-dr3400-compatibel/
"Drum HP LaserJet M102 , 19A , CF219A compatibel  12k",4000,5500,4000,L,,true,https://eurooffice.al/wp-content/uploads/2022/03/61De07rNwoL._AC_SL1158_.jpg,"Drum HP LaserJet M102 19A CF219A compatibel 12k Drum dhe toner compatible te cilesis se lart , jo te rimbushur . Cdo produkte eshte i certifikuar dhe me stampe sigurie . Kod art : DRHPLJCF219ACH",https://eurooffice.al/product/drum-hp-laserjet-m102-19a-cf219a-compatibel-12k/
Epson LX 300,1100,1500,1100,L,,true,https://eurooffice.al/wp-content/uploads/2018/01/epson-1.jpg,"Prodhuesi: Epson Modeli: LX300 Toner Panasonic per printera Inkjet. Ky produkt cilesor ofron saktesi dhe definicion te larte per dokumentat e printuar. Te gjitha produktet tona jane te nje cilesie te larte dhe me cmimet me konkurruese ne treg. Ne tregohemi te kujdesshem ne perzgjedhjen e partnereve tane per te sjelle prane jush produkte cilesore. Tek ne do te gjeni gjithe gamen e artikujve qe ju nevojitet ne zyra, institucione si dhe artikuj shkollore.",https://eurooffice.al/product/epson-lx-300/
Drum Lexmark MS/Mx 310,7500,8000,7500,L,,true,https://eurooffice.al/wp-content/uploads/2018/09/dr.jpg,"Prodhuesi: Lexmark Modeli: Drum Lexmark MS/Mx 310 Toner Lexmark per Printera Laser. Ky produkt cilesor ofron saktesi dhe definicion te larte per dokumentat e printuar. Instalohet lehtesisht ne printerin tuaj. Toner qe mund te printoj ne total 60,000 flete. Te gjitha produktet tona jane te nje cilesie te larte dhe me cmimet me konkurruese ne treg. Ne tregohemi te kujdesshem ne perzgjedhjen e partnereve tane per te sjelle prane jush produkte cilesore. Tek ne do te gjeni gjithe gamen e artikujve qe ju nevojitet ne zyra, institucione si dhe artikuj shkollore.",https://eurooffice.al/product/drum-lexmark-ms-mx-310/
"Epson T0711, T0712, T0713, T0714  STYLUS D 78, STYLUS D 92, STYLUS D120, STYLUS DX 4000, STYLUS DX 4050, STYLUS DX 4400, STYLUS DX 4450, STYLUS DX 5000, STYLUS DX 5050, STYLUS DX 6000, STYLUS DX 6050, STYLUS DX 7000F, STYLUS DX 7400, STYLUS DX 7450, STYLUS DX 8400, STYLUS DX 8450, STYLUS DX 9200, STYLUS DX 9400F, STYLUS OFFICE B 1100, STYLUS OFFICE B 40W, STYLUS OFFICE BX 300F, STYLUS OFFICE BX 310, STYLUS OFFICE BX 310FN, STYLUS OFFICE BX 600F, STYLUS OFFICE BX 600FW, STYLUS OFFICE BX 610, STYLUS OFFICE BX 610FW, STYLUS S 20, STYLUS S 21, STYLUS SX 100, STYLUS SX 105, STYLUS SX 110, STYLUS SX 115, STYLUS SX 200, STYLUS SX 205, STYLUS SX 210, STYLUS SX 215, STYLUS SX 218, STYLUS SX 400, STYLUS SX 400 WIFI, STYLUS SX 405, STYLUS SX 405 WIFI, STYLUS SX 410, STYLUS SX 415, STYLUS SX 510W, STYLUS SX 515W, STYLUS SX 600FW, STYLUS SX 610FW",1700,2200,1700,L,,true,https://eurooffice.al/wp-content/uploads/2018/01/epson.jpg,"Prodhuesi: Epson Modeli: T071CMY Toner Epson per printera Inkjet me ngjyra te ndryshem. Ky produkt cilesor ofron saktesi dhe definicion te larte per dokumentat e printuar. Te gjitha produktet tona jane te nje cilesie te larte dhe me cmimet me konkurruese ne treg. Ne tregohemi te kujdesshem ne perzgjedhjen e partnereve tane per te sjelle prane jush produkte cilesore. Tek ne do te gjeni gjithe gamen e artikujve qe ju nevojitet ne zyra, institucione si dhe artikuj shkollore.",https://eurooffice.al/product/epson-t0711-t0712-t0713-t0714/
